current ,temperature,vibration
1.9969,32.69,3.0565
1.9972,32.75,2.7985
1.985,32.81,2.9057
1.986,32.88,2.5338
1.9862,32.94,2.5074
1.9987,33,3.0537
1.9846,33,3.0157
1.9966,33,2.9979
1.9966,33,3.1965
1.9751,33.06,3.1756
1.9886,33.13,2.9267
1.9979,33.19,2.8206
1.9788,33.19,3.3601
1.9769,33.19,3.4148
2.0081,33.25,2.797
1.9827,33.31,3.4474
1.9827,33.31,3.0334
1.9858,33.38,2.8512
1.9897,33.44,2.921
1.9865,33.38,2.8983
1.9958,33.38,3.0283
2.0001,33.38,2.6358
1.9809,33.38,2.7606
1.998,33.44,2.9817
1.9993,33.44,2.7938
1.9933,33.5,2.779
1.9943,33.5,3.1109
1.9762,33.5,3.06
1.9866,33.5,2.4952
2,33.5,2.7857
1.9948,33.56,3.2534
1.9692,33.56,3.0999
1.9854,33.63,2.8403
1.9732,33.63,2.968
2.013,33.69,2.931
2.0339,33.69,2.9317
1.9877,33.69,3.3346
2.0192,33.69,3.4025
2.0368,33.69,3.158
2.0246,33.63,3.4812
2.0175,33.63,3.1614
2.0148,33.63,2.862
1.9976,33.63,3.4622
2.0219,33.63,3.0949
1.9885,33.56,2.9521
2.0431,33.63,2.9538
2.0243,33.63,3.0668
2.019,33.69,2.891
2.0173,33.69,2.8212
1.9924,33.69,3.397
1.98,33.69,2.7859
2.0339,33.69,3.2924
1.9922,33.63,2.8835
2.0073,33.63,2.6998
1.9882,33.69,3.5111
2.0416,85,3.0921
1.9989,33.81,2.7332
1.9912,33.75,2.8854
1.9278,33.75,3.0371
1.8719,33.69,3.1295
1.8831,33.63,2.9623
1.8885,33.69,2.7024
1.9095,33.69,3.3803
1.907,33.69,3.0636
1.8713,33.75,2.7667
1.9076,33.81,3.2929
1.8865,33.88,3.1426
1.9052,33.88,2.9022
1.903,33.88,2.9868
1.9112,33.88,2.9988
1.8859,33.88,2.7275
1.9013,33.88,2.9828
1.8886,33.81,3.165
1.921,33.75,2.7691
1.8951,33.81,2.9039
1.8904,33.81,3.5673
1.8942,33.81,3.2774
1.914,33.88,3.0375
1.8804,33.88,2.831
1.8868,33.88,3.0751
1.8817,33.81,2.5453
1.8816,33.81,3.049
1.8871,33.75,3.2893
2.0383,33.75,2.999
2.0542,33.81,3.3507
2.0242,33.88,3.3105
1.9398,33.88,3.1612
2.0109,33.94,2.56
1.9907,33.94,2.6985
1.9815,33.94,3.399
1.9799,33.94,3.0796
1.9541,33.94,2.8729
1.9124,33.88,3.1147
1.9057,33.88,2.5844
